timestamp,datetime,index_value,fetched_at,date,source_endpoint
1756357500,2025-08-28 10:50:00,2820.01,2025-08-30 12:59:55.626635,2025-08-30,DailyNepseIndexGraph
1756358100,2025-08-28 11:00:00,2820.52,2025-08-30 12:59:55.626647,2025-08-30,DailyNepseIndexGraph
1756358160,2025-08-28 11:01:00,2819.07,2025-08-30 12:59:55.626655,2025-08-30,DailyNepseIndexGraph
1756358220,2025-08-28 11:02:00,2817.46,2025-08-30 12:59:55.626661,2025-08-30,DailyNepseIndexGraph
1756358280,2025-08-28 11:03:00,2817.0,2025-08-30 12:59:55.626668,2025-08-30,DailyNepseIndexGraph
1756358340,2025-08-28 11:04:00,2816.92,2025-08-30 12:59:55.626677,2025-08-30,DailyNepseIndexGraph
1756358400,2025-08-28 11:05:00,2817.2,2025-08-30 12:59:55.626684,2025-08-30,DailyNepseIndexGraph
1756358460,2025-08-28 11:06:00,2818.03,2025-08-30 12:59:55.626690,2025-08-30,DailyNepseIndexGraph
1756358520,2025-08-28 11:07:00,2817.56,2025-08-30 12:59:55.626696,2025-08-30,DailyNepseIndexGraph
1756358580,2025-08-28 11:08:00,2817.1,2025-08-30 12:59:55.626703,2025-08-30,DailyNepseIndexGraph
1756358640,2025-08-28 11:09:00,2817.25,2025-08-30 12:59:55.626709,2025-08-30,DailyNepseIndexGraph
1756358700,2025-08-28 11:10:00,2818.13,2025-08-30 12:59:55.626715,2025-08-30,DailyNepseIndexGraph
1756358760,2025-08-28 11:11:00,2818.44,2025-08-30 12:59:55.626721,2025-08-30,DailyNepseIndexGraph
1756358820,2025-08-28 11:12:00,2818.39,2025-08-30 12:59:55.626727,2025-08-30,DailyNepseIndexGraph
1756358880,2025-08-28 11:13:00,2818.89,2025-08-30 12:59:55.626733,2025-08-30,DailyNepseIndexGraph
1756358940,2025-08-28 11:14:00,2820.75,2025-08-30 12:59:55.626739,2025-08-30,DailyNepseIndexGraph
1756359000,2025-08-28 11:15:00,2821.6,2025-08-30 12:59:55.626745,2025-08-30,DailyNepseIndexGraph
1756359060,2025-08-28 11:16:00,2822.33,2025-08-30 12:59:55.626751,2025-08-30,DailyNepseIndexGraph
1756359120,2025-08-28 11:17:00,2822.18,2025-08-30 12:59:55.626758,2025-08-30,DailyNepseIndexGraph
1756359180,2025-08-28 11:18:00,2823.53,2025-08-30 12:59:55.626764,2025-08-30,DailyNepseIndexGraph
1756359240,2025-08-28 11:19:00,2823.86,2025-08-30 12:59:55.626769,2025-08-30,DailyNepseIndexGraph
1756359300,2025-08-28 11:20:00,2824.86,2025-08-30 12:59:55.626775,2025-08-30,DailyNepseIndexGraph
1756359360,2025-08-28 11:21:00,2824.24,2025-08-30 12:59:55.626781,2025-08-30,DailyNepseIndexGraph
