contractQuantity,contractRate,time,symbol,fetched_at,date,source_endpoint
0,775.0,1756358760,USHL,2025-08-30 12:50:20.604415,2025-08-30,DailyScripPriceGraph
0,777.0,1756359120,USHL,2025-08-30 12:50:20.604415,2025-08-30,DailyScripPriceGraph
0,764.0,1756359240,USHL,2025-08-30 12:50:20.604415,2025-08-30,DailyScripPriceGraph
0,764.0,1756359420,USHL,2025-08-30 12:50:20.604415,2025-08-30,DailyScripPriceGraph
0,763.9,1756360140,USHL,2025-08-30 12:50:20.604415,2025-08-30,DailyScripPriceGraph
0,762.0,1756360200,USHL,2025-08-30 12:50:20.604415,2025-08-30,DailyScripPriceGraph
0,763.1,1756361760,USHL,2025-08-30 12:50:20.604415,2025-08-30,DailyScripPriceGraph
0,763.1,1756361820,USHL,2025-08-30 12:50:20.604415,2025-08-30,DailyScripPriceGraph
0,763.1,1756362360,USHL,2025-08-30 12:50:20.604415,2025-08-30,DailyScripPriceGraph
0,766.0,1756363440,USHL,2025-08-30 12:50:20.604415,2025-08-30,DailyScripPriceGraph
0,765.0,1756363500,USHL,2025-08-30 12:50:20.604415,2025-08-30,DailyScripPriceGraph
0,769.0,1756363620,USHL,2025-08-30 12:50:20.604415,2025-08-30,DailyScripPriceGraph
0,762.2,1756364520,USHL,2025-08-30 12:50:20.604415,2025-08-30,DailyScripPriceGraph
0,758.2,1756365480,USHL,2025-08-30 12:50:20.604415,2025-08-30,DailyScripPriceGraph
0,762.0,1756365660,USHL,2025-08-30 12:50:20.604415,2025-08-30,DailyScripPriceGraph
0,754.0,1756367400,USHL,2025-08-30 12:50:20.604415,2025-08-30,DailyScripPriceGraph
0,753.1,1756367760,USHL,2025-08-30 12:50:20.604415,2025-08-30,DailyScripPriceGraph
0,751.0,1756368180,USHL,2025-08-30 12:50:20.604415,2025-08-30,DailyScripPriceGraph
0,751.0,1756368300,USHL,2025-08-30 12:50:20.604415,2025-08-30,DailyScripPriceGraph
0,746.8,1756368360,USHL,2025-08-30 12:50:20.604415,2025-08-30,DailyScripPriceGraph
0,735.0,1756368420,USHL,2025-08-30 12:50:20.604415,2025-08-30,DailyScripPriceGraph
0,739.1,1756369080,USHL,2025-08-30 12:50:20.604415,2025-08-30,DailyScripPriceGraph
0,740.0,1756369320,USHL,2025-08-30 12:50:20.604415,2025-08-30,DailyScripPriceGraph
0,740.0,1756369920,USHL,2025-08-30 12:50:20.604415,2025-08-30,DailyScripPriceGraph
0,739.0,1756370220,USHL,2025-08-30 12:50:20.604415,2025-08-30,DailyScripPriceGraph
0,735.0,1756370280,USHL,2025-08-30 12:50:20.604415,2025-08-30,DailyScripPriceGraph
0,735.0,1756370460,USHL,2025-08-30 12:50:20.604415,2025-08-30,DailyScripPriceGraph
0,737.0,1756371120,USHL,2025-08-30 12:50:20.604415,2025-08-30,DailyScripPriceGraph
0,747.0,1756371480,USHL,2025-08-30 12:50:20.604415,2025-08-30,DailyScripPriceGraph
0,737.0,1756371600,USHL,2025-08-30 12:50:20.604415,2025-08-30,DailyScripPriceGraph
0,740.0,1756371900,USHL,2025-08-30 12:50:20.604415,2025-08-30,DailyScripPriceGraph
0,741.6,1756372200,USHL,2025-08-30 12:50:20.604415,2025-08-30,DailyScripPriceGraph
0,740.0,1756372260,USHL,2025-08-30 12:50:20.604415,2025-08-30,DailyScripPriceGraph
0,739.0,1756372380,USHL,2025-08-30 12:50:20.604415,2025-08-30,DailyScripPriceGraph
0,739.1,1756372440,USHL,2025-08-30 12:50:20.604415,2025-08-30,DailyScripPriceGraph
0,1075.0,1756359480,ACLBSL,2025-08-30 12:50:21.291570,2025-08-30,DailyScripPriceGraph
0,1051.0,1756360140,ACLBSL,2025-08-30 12:50:21.291570,2025-08-30,DailyScripPriceGraph
0,1051.0,1756360320,ACLBSL,2025-08-30 12:50:21.291570,2025-08-30,DailyScripPriceGraph
0,1051.0,1756361100,ACLBSL,2025-08-30 12:50:21.291570,2025-08-30,DailyScripPriceGraph
0,1061.0,1756361280,ACLBSL,2025-08-30 12:50:21.291570,2025-08-30,DailyScripPriceGraph
0,1075.4,1756361520,ACLBSL,2025-08-30 12:50:21.291570,2025-08-30,DailyScripPriceGraph
0,1054.0,1756362480,ACLBSL,2025-08-30 12:50:21.291570,2025-08-30,DailyScripPriceGraph
0,1053.9,1756362600,ACLBSL,2025-08-30 12:50:21.291570,2025-08-30,DailyScripPriceGraph
0,1054.0,1756363380,ACLBSL,2025-08-30 12:50:21.291570,2025-08-30,DailyScripPriceGraph
0,1081.3,1756364220,ACLBSL,2025-08-30 12:50:21.291570,2025-08-30,DailyScripPriceGraph
0,1060.0,1756366560,ACLBSL,2025-08-30 12:50:21.291570,2025-08-30,DailyScripPriceGraph
0,1082.0,1756367940,ACLBSL,2025-08-30 12:50:21.291570,2025-08-30,DailyScripPriceGraph
0,1081.0,1756368840,ACLBSL,2025-08-30 12:50:21.291570,2025-08-30,DailyScripPriceGraph
0,1078.0,1756369020,ACLBSL,2025-08-30 12:50:21.291570,2025-08-30,DailyScripPriceGraph
0,1074.0,1756369260,ACLBSL,2025-08-30 12:50:21.291570,2025-08-30,DailyScripPriceGraph
0,1054.0,1756369320,ACLBSL,2025-08-30 12:50:21.291570,2025-08-30,DailyScripPriceGraph
0,1052.0,1756369500,ACLBSL,2025-08-30 12:50:21.291570,2025-08-30,DailyScripPriceGraph
0,1055.0,1756370160,ACLBSL,2025-08-30 12:50:21.291570,2025-08-30,DailyScripPriceGraph
0,1051.6,1756370760,ACLBSL,2025-08-30 12:50:21.291570,2025-08-30,DailyScripPriceGraph
0,1073.0,1756370820,ACLBSL,2025-08-30 12:50:21.291570,2025-08-30,DailyScripPriceGraph
0,1075.0,1756371720,ACLBSL,2025-08-30 12:50:21.291570,2025-08-30,DailyScripPriceGraph
0,1072.2,1756371900,ACLBSL,2025-08-30 12:50:21.291570,2025-08-30,DailyScripPriceGraph
0,1072.1,1756372080,ACLBSL,2025-08-30 12:50:21.291570,2025-08-30,DailyScripPriceGraph
0,1072.1,1756372200,ACLBSL,2025-08-30 12:50:21.291570,2025-08-30,DailyScripPriceGraph
0,1072.1,1756372320,ACLBSL,2025-08-30 12:50:21.291570,2025-08-30,DailyScripPriceGraph
0,1082.0,1756372380,ACLBSL,2025-08-30 12:50:21.291570,2025-08-30,DailyScripPriceGraph
0,1090.0,1756372440,ACLBSL,2025-08-30 12:50:21.291570,2025-08-30,DailyScripPriceGraph
0,5666.2,1756358520,ANLB,2025-08-30 12:50:22.161914,2025-08-30,DailyScripPriceGraph
0,5720.1,1756359420,ANLB,2025-08-30 12:50:22.161914,2025-08-30,DailyScripPriceGraph
