closePrice,indexId,lastTradedPrice,percentageChange,previousClose,securityId,securityName,symbol,totalTradeQuantity,fetched_at,date,source_endpoint
1078.55,58,1078.55,-1.392418951,1093.78,2790,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,ACLBSL,1785,2025-08-30 12:59:54.907737,2025-08-30,PriceVolume
327.55,58,327.55,-1.134888775,331.31,397,Agricultural Development Bank Limited,ADBL,66102,2025-08-30 12:59:54.907737,2025-08-30,PriceVolume
655.52,58,655.52,2.543565998,639.26,9150,Asian Hydropower Limited,AHL,9444,2025-08-30 12:59:54.907737,2025-08-30,PriceVolume
291.63,58,291.63,-2.291687607,298.47,360,Arun Valley Hydropower Development Co. Ltd.,AHPC,172491,2025-08-30 12:59:54.907737,2025-08-30,PriceVolume
204.08,58,204.08,-1.813808035,207.85,2788,Ankhu Khola Jalvidhyut Company Ltd,AKJCL,80486,2025-08-30 12:59:54.907737,2025-08-30,PriceVolume
268.55,58,268.55,-0.033502085,268.64,2757,Arun Kabeli Power Ltd.,AKPL,540030,2025-08-30 12:59:54.907737,2025-08-30,PriceVolume
1019.17,58,1019.17,1.306124072,1006.03,2807,Asha Laghubitta Bittiya Sanstha Ltd,ALBSL,42597,2025-08-30 12:59:54.907737,2025-08-30,PriceVolume
490.37,58,490.37,-2.371187386,502.28,385,Asian Life Insurance Co. Limited,ALICL,19572,2025-08-30 12:59:54.907737,2025-08-30,PriceVolume
5864.55,58,5864.55,1.50653136,5777.51,9161,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,ANLB,819,2025-08-30 12:59:54.907737,2025-08-30,PriceVolume
294.75,58,294.75,-1.385124962,298.89,697,Api Power Company Ltd.,API,141601,2025-08-30 12:59:54.907737,2025-08-30,PriceVolume
1016.09,58,1016.09,-1.729257135,1033.97,8117,Aviyan Laghubitta Bittiya Sanstha Limited,AVYAN,5906,2025-08-30 12:59:54.907737,2025-08-30,PriceVolume
357.29,58,357.29,-1.864974731,364.08,686,Barun Hydropower Co. Ltd.,BARUN,55432,2025-08-30 12:59:54.907737,2025-08-30,PriceVolume
5390.7,58,5390.7,-1.336993823,5463.75,156,Bishal Bazar Company Limited,BBC,450,2025-08-30 12:59:54.907737,2025-08-30,PriceVolume
713.53,58,713.53,-2.347128702,730.68,9171,Bhugol Energy Development Company Limited,BEDC,10001,2025-08-30 12:59:54.907737,2025-08-30,PriceVolume
492.55,58,492.55,-2.182547563,503.54,227,Best Finance Company Ltd.,BFC,19508,2025-08-30 12:59:54.907737,2025-08-30,PriceVolume
906.6,58,906.6,0.171261256,905.05,9214,Bhagawati Hydropower Development Company Limited,BGWT,1028,2025-08-30 12:59:54.907737,2025-08-30,PriceVolume
568.9,58,568.9,9.996133024,517.2,9267,Bikash Hydropower Company Limited,BHCL,34970,2025-08-30 12:59:54.907737,2025-08-30,PriceVolume
566.22,58,566.22,-1.636439441,575.64,8075,Bindhyabasini Hydropower Development Company Limited,BHDC,84272,2025-08-30 12:59:54.907737,2025-08-30,PriceVolume
198.52,58,198.52,-0.386371619,199.29,8055,Balephi Hydropower Limited,BHL,141798,2025-08-30 12:59:54.907737,2025-08-30,PriceVolume
771.2,58,771.2,-1.632653061,784.0,9135,Barahi Hydropower Public Limited,BHPL,3418,2025-08-30 12:59:54.907737,2025-08-30,PriceVolume
517.73,58,517.73,-0.855993872,522.2,8032,Buddha Bhumi Nepal Hydropower Company Limited,BNHC,14074,2025-08-30 12:59:54.907737,2025-08-30,PriceVolume
16082.0,58,16082.0,-1.998781231,16410.0,195,Bottlers Nepal (Balaju) Limited,BNL,32,2025-08-30 12:59:54.907737,2025-08-30,PriceVolume
11950.0,58,11950.0,-0.340759545,11990.86,213,Bottlers Nepal (Terai) Limited,BNT,130,2025-08-30 12:59:54.907737,2025-08-30,PriceVolume
832.5,58,832.5,-2.303639116,852.13,153,Butwal Power Company Limited,BPCL,166350,2025-08-30 12:59:54.907737,2025-08-30,PriceVolume
1069.84,58,1069.84,-0.776286623,1078.21,164,Chhimek Laghubitta Bittiya Sanstha Limited,CBBL,47731,2025-08-30 12:59:54.907737,2025-08-30,PriceVolume
506.82,58,506.82,-2.280921623,518.65,245,Central Finance Co. Ltd.,CFCL,16623,2025-08-30 12:59:54.907737,2025-08-30,PriceVolume
1056.49,58,1056.49,-0.580618448,1062.66,2917,Chandragiri Hills Limited,CGH,178031,2025-08-30 12:59:54.907737,2025-08-30,PriceVolume
510.16,58,510.16,-1.471667504,517.78,154,Chilime Hydropower Company Limited,CHCL,45569,2025-08-30 12:59:54.907737,2025-08-30,PriceVolume
2584.49,58,2584.49,-2.1174822,2640.4,3946,CEDB Holdings Limited,CHDC,27548,2025-08-30 12:59:54.907737,2025-08-30,PriceVolume
285.36,58,285.36,-2.98827129,294.15,2766,Chhyangdi Hydropower Ltd.,CHL,41002,2025-08-30 12:59:54.907737,2025-08-30,PriceVolume
1925.61,58,1925.61,-0.783178158,1940.81,210,Citizen Investment Trust,CIT,10344,2025-08-30 12:59:54.907737,2025-08-30,PriceVolume
602.34,58,602.34,-1.25411892,609.99,9173,City Hotel Limited,CITY,18590,2025-08-30 12:59:54.907737,2025-08-30,PriceVolume
674.93,58,674.93,-1.370723795,684.31,9232,Chirkhwa Hydropower Limited ,CKHL,3875,2025-08-30 12:59:54.907737,2025-08-30,PriceVolume
473.22,58,473.22,-1.617463617,481.0,9209,Citizen Life Insurance Company Limited,CLI,20473,2025-08-30 12:59:54.907737,2025-08-30,PriceVolume
1954.43,58,1954.43,0.146548676,1951.57,450,Corporate Development Bank Limited,CORBL,3180,2025-08-30 12:59:54.907737,2025-08-30,PriceVolume
1232.08,58,1232.08,-3.587833449,1277.93,9252,Crest Micro Life Insurance Limited,CREST,14883,2025-08-30 12:59:54.907737,2025-08-30,PriceVolume
1727.72,58,1727.72,-3.000836529,1781.17,8065,CYC Nepal Laghubitta Bittiya Sanstha Limited,CYCL,5543,2025-08-30 12:59:54.907737,2025-08-30,PriceVolume
209.24,58,209.24,-0.87170741,211.08,348,Citizens Bank International Limited,CZBIL,53507,2025-08-30 12:59:54.907737,2025-08-30,PriceVolume
892.68,58,892.68,-2.253465607,913.26,166,Deprosc Laghubitta Bittiya Sanstha Limited,DDBL,29669,2025-08-30 12:59:54.907737,2025-08-30,PriceVolume
314.18,58,314.18,-1.461548112,318.84,2754,Dibyashwori Hydropower Ltd.,DHPL,10752,2025-08-30 12:59:54.907737,2025-08-30,PriceVolume
1433.49,58,1433.49,-1.881613711,1460.98,8123,Dhaulagiri Laghubitta Bittiya Sanstha Limited,DLBS,1889,2025-08-30 12:59:54.907737,2025-08-30,PriceVolume
575.28,58,575.28,-0.553173835,578.48,9170,Dolti Power Company Limited,DOLTI,6809,2025-08-30 12:59:54.907737,2025-08-30,PriceVolume
279.77,58,279.77,0.470444588,278.46,8070,Dordi Khola Jal Bidyut Company Limited,DORDI,58545,2025-08-30 12:59:54.907737,2025-08-30,PriceVolume
