cp,ltp,percentageChange,pointChange,securityId,securityName,symbol,fetched_at,date,source_endpoint
568.9,568.9,10.0,51.7,9267,Bikash Hydropower Company Limited,BHCL,2025-08-30 12:59:54.970724,2025-08-30,TopGainers
589.21,589.21,3.62,20.56,8005,Mailung Khola Jal Vidhyut Company Limited,MKJC,2025-08-30 12:59:54.970724,2025-08-30,TopGainers
853.2,853.2,3.41,28.12,9194,Three Star Hydropower Limited,TSHL,2025-08-30 12:59:54.970724,2025-08-30,TopGainers
844.26,844.26,3.19,26.09,559,NLG Insurance Company Ltd.,NLG,2025-08-30 12:59:54.970724,2025-08-30,TopGainers
360.12,360.12,3.17,11.06,8122,People's Power Limited,PPL,2025-08-30 12:59:54.970724,2025-08-30,TopGainers
9.69,9.69,3.09,0.29,2877,Sunrise First Mutual Fund,SFMF,2025-08-30 12:59:54.970724,2025-08-30,TopGainers
699.88,699.88,2.82,19.22,185,Sagarmatha Lumbini Insurance Co. Limited,SALICO,2025-08-30 12:59:54.970724,2025-08-30,TopGainers
655.52,655.52,2.54,16.26,9150,Asian Hydropower Limited,AHL,2025-08-30 12:59:54.970724,2025-08-30,TopGainers
980.92,980.92,2.39,22.94,2761,Samata Gharelu Laghubitta Bittiya Sanstha Limited,SMATA,2025-08-30 12:59:54.970724,2025-08-30,TopGainers
378.36,378.36,2.15,7.98,8100,Swet-Ganga Hydropower & Construction Limited ,SGHC,2025-08-30 12:59:54.970724,2025-08-30,TopGainers
601.39,601.39,2.08,12.26,179,Himalayan Everest Insurance Limited,HEI,2025-08-30 12:59:54.970724,2025-08-30,TopGainers
1075.0,1075.0,1.9,20.0,8027,Nabil Debenture 2085,NBLD85,2025-08-30 12:59:54.970724,2025-08-30,TopGainers
1090.0,1090.0,1.87,20.0,9249,9% ICFC Finance Limited Debenture 2088,ICFCD88,2025-08-30 12:59:54.970724,2025-08-30,TopGainers
8.86,8.86,1.84,0.16,9236,NIC ASIA Growth Fund-2,NICGF2,2025-08-30 12:59:54.970724,2025-08-30,TopGainers
833.93,833.93,1.67,13.72,182,Siddhartha Premier Insurance Limited,SPIL,2025-08-30 12:59:54.970724,2025-08-30,TopGainers
830.19,830.19,1.67,13.6,2784,Nadep Laghubittiya bittya Sanstha Ltd.,NADEP,2025-08-30 12:59:54.970724,2025-08-30,TopGainers
9.15,9.15,1.67,0.15,4968,RBB Mutual Fund 1,RMF1,2025-08-30 12:59:54.970724,2025-08-30,TopGainers
5864.55,5864.55,1.51,87.04,9161,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,ANLB,2025-08-30 12:59:54.970724,2025-08-30,TopGainers
11.63,11.63,1.48,0.17,9221,Himalayan 80-20,H8020,2025-08-30 12:59:54.970724,2025-08-30,TopGainers
9.15,9.15,1.44,0.13,9254,NMB Hybrid Fund L- II,NMBHF2,2025-08-30 12:59:54.970724,2025-08-30,TopGainers
1019.17,1019.17,1.31,13.14,2807,Asha Laghubitta Bittiya Sanstha Ltd,ALBSL,2025-08-30 12:59:54.970724,2025-08-30,TopGainers
376.27,376.27,1.29,4.8,145,Siddhartha Bank Limited,SBL,2025-08-30 12:59:54.970724,2025-08-30,TopGainers
