cp,ltp,percentageChange,pointChange,securityId,securityName,symbol,fetched_at,date,source_endpoint
859.74,859.74,-4.71,-42.51,149,Oriental Hotels Limited,OHL,2025-08-30 12:59:55.024258,2025-08-30,TopLosers
552.99,552.99,-4.18,-24.11,358,Lumbini Bikas Bank Ltd.,LBBL,2025-08-30 12:59:55.024258,2025-08-30,TopLosers
431.39,431.39,-3.87,-17.36,472,Shangrila Development Bank Ltd.,SADBL,2025-08-30 12:59:55.024258,2025-08-30,TopLosers
832.61,832.61,-3.8,-32.86,8126,Sikles Hydropower Limited,SIKLES,2025-08-30 12:59:55.024258,2025-08-30,TopLosers
1250.4,1250.4,-3.66,-47.5,695,Janautthan Samudayic Laghubitta Bittya Sanstha Limited,JSLBB,2025-08-30 12:59:55.024258,2025-08-30,TopLosers
739.74,739.74,-3.61,-27.7,9192,Upper Syange Hydropower Limited,USHL,2025-08-30 12:59:55.024258,2025-08-30,TopLosers
1232.08,1232.08,-3.59,-45.85,9252,Crest Micro Life Insurance Limited,CREST,2025-08-30 12:59:55.024258,2025-08-30,TopLosers
800.77,800.77,-3.53,-29.27,172,Narayani Development Bank Limited,NABBC,2025-08-30 12:59:55.024258,2025-08-30,TopLosers
397.83,397.83,-3.52,-14.51,2786,Panchakanya Mai Hydropower Ltd,PMHPL,2025-08-30 12:59:55.024258,2025-08-30,TopLosers
561.13,561.13,-3.5,-20.34,8045,Green Ventures Limited,GVL,2025-08-30 12:59:55.024258,2025-08-30,TopLosers
1484.71,1484.71,-3.49,-53.75,2768,Mahuli Laghubitta Bittiya Sanstha Limited,MSLB,2025-08-30 12:59:55.024258,2025-08-30,TopLosers
527.92,527.92,-3.41,-18.65,459,Kamana Sewa Bikas Bank Limited,KSBBL,2025-08-30 12:59:55.024258,2025-08-30,TopLosers
1403.88,1403.88,-3.24,-46.97,9250,Nepal Micro Insurance Company Limited,NMIC,2025-08-30 12:59:55.024258,2025-08-30,TopLosers
336.45,336.45,-3.23,-11.23,418,Jyoti Bikas Bank Limited,JBBL,2025-08-30 12:59:55.024258,2025-08-30,TopLosers
2094.52,2094.52,-3.2,-69.17,9246,Guardian Micro Life Insurance Limited ,GMLI,2025-08-30 12:59:55.024258,2025-08-30,TopLosers
263.13,263.13,-3.19,-8.68,2811,Mountain Hydro Nepal Limited,MHNL,2025-08-30 12:59:55.024258,2025-08-30,TopLosers
1727.72,1727.72,-3.0,-53.45,8065,CYC Nepal Laghubitta Bittiya Sanstha Limited,CYCL,2025-08-30 12:59:55.024258,2025-08-30,TopLosers
400.03,400.03,-2.99,-12.34,2759,Synergy Power Development Ltd.,SPDL,2025-08-30 12:59:55.024258,2025-08-30,TopLosers
307.77,307.77,-2.99,-9.47,2934,Singati Hydro Energy Limited,SHEL,2025-08-30 12:59:55.024258,2025-08-30,TopLosers
285.36,285.36,-2.99,-8.79,2766,Chhyangdi Hydropower Ltd.,CHL,2025-08-30 12:59:55.024258,2025-08-30,TopLosers
334.83,334.83,-2.97,-10.26,2813,Panchthar Power Compant Limited,PPCL,2025-08-30 12:59:55.024258,2025-08-30,TopLosers
1330.31,1330.31,-2.95,-40.48,9256,Om Megashree Pharmaceuticals Limited,OMPL,2025-08-30 12:59:55.024258,2025-08-30,TopLosers
1542.42,1542.42,-2.93,-46.51,601,Mithila LaghuBitta Bittiya Sanstha Limited,MLBBL,2025-08-30 12:59:55.024258,2025-08-30,TopLosers
397.7,397.7,-2.81,-11.51,401,Mahalaxmi Bikas Bank Ltd.,MLBL,2025-08-30 12:59:55.024258,2025-08-30,TopLosers
392.36,392.36,-2.81,-11.33,2831,Union Hydropower Limited,UNHPL,2025-08-30 12:59:55.024258,2025-08-30,TopLosers
1067.76,1067.76,-2.75,-30.16,593,Kalika Laghubitta Bittiya Sanstha Ltd,KMCDB,2025-08-30 12:59:55.024258,2025-08-30,TopLosers
