lastTradedPrice,securityId,securityName,symbol,totalTrades,fetched_at,date,source_endpoint
1030.1,9234,Himalayan Reinsurance Limited,HRL,4291,2025-08-30 12:59:55.143146,2025-08-30,TopTenTransactionScrips
568.9,9267,Bikash Hydropower Company Limited,BHCL,3497,2025-08-30 12:59:55.143146,2025-08-30,TopTenTransactionScrips
1689.0,2881,Nepal Reinsurance Company Limited,NRIC,2138,2025-08-30 12:59:55.143146,2025-08-30,TopTenTransactionScrips
1419.0,235,Himalayan Distillery Limited,HDL,1918,2025-08-30 12:59:55.143146,2025-08-30,TopTenTransactionScrips
268.5,2757,Arun Kabeli Power Ltd.,AKPL,1710,2025-08-30 12:59:55.143146,2025-08-30,TopTenTransactionScrips
626.0,2809,SHIVAM CEMENTS LTD,SHIVM,1339,2025-08-30 12:59:55.143146,2025-08-30,TopTenTransactionScrips
308.0,2934,Singati Hydro Energy Limited,SHEL,1302,2025-08-30 12:59:55.143146,2025-08-30,TopTenTransactionScrips
870.0,9262,Trade Tower Limited,TTL,1152,2025-08-30 12:59:55.143146,2025-08-30,TopTenTransactionScrips
551.0,358,Lumbini Bikas Bank Ltd.,LBBL,1045,2025-08-30 12:59:55.143146,2025-08-30,TopTenTransactionScrips
279.8,2919,Nepal Infrastructure Bank Limited,NIFRA,1028,2025-08-30 12:59:55.143146,2025-08-30,TopTenTransactionScrips
985.0,2761,Samata Gharelu Laghubitta Bittiya Sanstha Limited,SMATA,962,2025-08-30 12:59:55.143146,2025-08-30,TopTenTransactionScrips
237.0,2903,Liberty Energy Company Limited,LEC,944,2025-08-30 12:59:55.143146,2025-08-30,TopTenTransactionScrips
402.9,2743,Ngadi Group Power Ltd.,NGPL,932,2025-08-30 12:59:55.143146,2025-08-30,TopTenTransactionScrips
201.0,142,Kumari Bank Limited,KBL,920,2025-08-30 12:59:55.143146,2025-08-30,TopTenTransactionScrips
844.0,559,NLG Insurance Company Ltd.,NLG,812,2025-08-30 12:59:55.143146,2025-08-30,TopTenTransactionScrips
537.0,9183,Nepal Republic Media Limited,NRM,788,2025-08-30 12:59:55.143146,2025-08-30,TopTenTransactionScrips
1264.9,9213,Hathway Investment Nepal Limited,HATHY,762,2025-08-30 12:59:55.143146,2025-08-30,TopTenTransactionScrips
586.0,8005,Mailung Khola Jal Vidhyut Company Limited,MKJC,742,2025-08-30 12:59:55.143146,2025-08-30,TopTenTransactionScrips
1052.0,2917,Chandragiri Hills Limited,CGH,736,2025-08-30 12:59:55.143146,2025-08-30,TopTenTransactionScrips
696.0,9263,Sanvi Energy Limited,SANVI,735,2025-08-30 12:59:55.143146,2025-08-30,TopTenTransactionScrips
834.0,153,Butwal Power Company Limited,BPCL,717,2025-08-30 12:59:55.143146,2025-08-30,TopTenTransactionScrips
569.0,8045,Green Ventures Limited,GVL,698,2025-08-30 12:59:55.143146,2025-08-30,TopTenTransactionScrips
649.0,8021,Sahas Urja Limited,SAHAS,663,2025-08-30 12:59:55.143146,2025-08-30,TopTenTransactionScrips
391.2,2831,Union Hydropower Limited,UNHPL,645,2025-08-30 12:59:55.143146,2025-08-30,TopTenTransactionScrips
