closingPrice,securityId,securityName,symbol,turnover,fetched_at,date,source_endpoint
1689.0,2881,Nepal Reinsurance Company Limited,NRIC,654403822.1,2025-08-30 12:59:55.104237,2025-08-30,TopTenTurnoverScrips
1030.1,9234,Himalayan Reinsurance Limited,HRL,606949761.0,2025-08-30 12:59:55.104237,2025-08-30,TopTenTurnoverScrips
1419.0,235,Himalayan Distillery Limited,HDL,350421793.4,2025-08-30 12:59:55.104237,2025-08-30,TopTenTurnoverScrips
626.0,2809,SHIVAM CEMENTS LTD,SHIVM,224232198.4,2025-08-30 12:59:55.104237,2025-08-30,TopTenTurnoverScrips
580.0,2760,United Modi Hydropower Ltd.,UMHL,194948992.2,2025-08-30 12:59:55.104237,2025-08-30,TopTenTurnoverScrips
1052.0,2917,Chandragiri Hills Limited,CGH,189023634.0,2025-08-30 12:59:55.104237,2025-08-30,TopTenTurnoverScrips
551.0,358,Lumbini Bikas Bank Ltd.,LBBL,173785033.7,2025-08-30 12:59:55.104237,2025-08-30,TopTenTurnoverScrips
402.9,2743,Ngadi Group Power Ltd.,NGPL,152567004.0,2025-08-30 12:59:55.104237,2025-08-30,TopTenTurnoverScrips
268.5,2757,Arun Kabeli Power Ltd.,AKPL,146930020.3,2025-08-30 12:59:55.104237,2025-08-30,TopTenTurnoverScrips
834.0,153,Butwal Power Company Limited,BPCL,140817308.0,2025-08-30 12:59:55.104237,2025-08-30,TopTenTurnoverScrips
844.0,559,NLG Insurance Company Ltd.,NLG,135843124.0,2025-08-30 12:59:55.104237,2025-08-30,TopTenTurnoverScrips
308.0,2934,Singati Hydro Energy Limited,SHEL,131989029.8,2025-08-30 12:59:55.104237,2025-08-30,TopTenTurnoverScrips
760.1,2776,Radhi Bidyut Company Ltd,RADHI,128063153.5,2025-08-30 12:59:55.104237,2025-08-30,TopTenTurnoverScrips
586.0,8005,Mailung Khola Jal Vidhyut Company Limited,MKJC,115087143.4,2025-08-30 12:59:55.104237,2025-08-30,TopTenTurnoverScrips
527.0,459,Kamana Sewa Bikas Bank Limited,KSBBL,113425194.9,2025-08-30 12:59:55.104237,2025-08-30,TopTenTurnoverScrips
391.2,2831,Union Hydropower Limited,UNHPL,98103363.7,2025-08-30 12:59:55.104237,2025-08-30,TopTenTurnoverScrips
2134.1,2898,NRN Infrastructure and Development Limited,NRN,91373406.9,2025-08-30 12:59:55.104237,2025-08-30,TopTenTurnoverScrips
447.5,474,Muktinath Bikas Bank Ltd.,MNBBL,90705316.8,2025-08-30 12:59:55.104237,2025-08-30,TopTenTurnoverScrips
563.5,591,Sanima Mai Hydropower Ltd.,SHPC,85637115.7,2025-08-30 12:59:55.104237,2025-08-30,TopTenTurnoverScrips
885.1,490,First Micro Finance Laghubitta Bittiya Sanstha Limited,FMDBL,81688671.3,2025-08-30 12:59:55.104237,2025-08-30,TopTenTurnoverScrips
237.0,2903,Liberty Energy Company Limited,LEC,81324447.3,2025-08-30 12:59:55.104237,2025-08-30,TopTenTurnoverScrips
569.0,8045,Green Ventures Limited,GVL,80401570.9,2025-08-30 12:59:55.104237,2025-08-30,TopTenTurnoverScrips
860.0,149,Oriental Hotels Limited,OHL,79218566.3,2025-08-30 12:59:55.104237,2025-08-30,TopTenTurnoverScrips
201.0,142,Kumari Bank Limited,KBL,78202786.7,2025-08-30 12:59:55.104237,2025-08-30,TopTenTurnoverScrips
649.0,8021,Sahas Urja Limited,SAHAS,74990776.1,2025-08-30 12:59:55.104237,2025-08-30,TopTenTurnoverScrips
537.0,9183,Nepal Republic Media Limited,NRM,73426119.1,2025-08-30 12:59:55.104237,2025-08-30,TopTenTurnoverScrips
2583.0,3946,CEDB Holdings Limited,CHDC,71929715.9,2025-08-30 12:59:55.104237,2025-08-30,TopTenTurnoverScrips
391.5,2810,UNIVERSAL POWER COMPANY LTD,UPCL,71651217.9,2025-08-30 12:59:55.104237,2025-08-30,TopTenTurnoverScrips
1264.9,9213,Hathway Investment Nepal Limited,HATHY,70301860.8,2025-08-30 12:59:55.104237,2025-08-30,TopTenTurnoverScrips
279.8,2919,Nepal Infrastructure Bank Limited,NIFRA,69827840.7,2025-08-30 12:59:55.104237,2025-08-30,TopTenTurnoverScrips
747.0,137,Everest Bank Limited,EBL,60081358.7,2025-08-30 12:59:55.104237,2025-08-30,TopTenTurnoverScrips
204.2,8111,Hydorelectricity Investment and Development Company Limited Promoter,HIDCLP,56473484.6,2025-08-30 12:59:55.104237,2025-08-30,TopTenTurnoverScrips
400.0,2759,Synergy Power Development Ltd.,SPDL,54421407.9,2025-08-30 12:59:55.104237,2025-08-30,TopTenTurnoverScrips
376.9,145,Siddhartha Bank Limited,SBL,53169057.7,2025-08-30 12:59:55.104237,2025-08-30,TopTenTurnoverScrips
432.0,472,Shangrila Development Bank Ltd.,SADBL,53141804.8,2025-08-30 12:59:55.104237,2025-08-30,TopTenTurnoverScrips
432.9,417,Garima Bikas Bank Limited,GBBL,52310941.1,2025-08-30 12:59:55.104237,2025-08-30,TopTenTurnoverScrips
985.0,2761,Samata Gharelu Laghubitta Bittiya Sanstha Limited,SMATA,51436263.1,2025-08-30 12:59:55.104237,2025-08-30,TopTenTurnoverScrips
