companyEmail,companyName,id,instrumentType,regulatoryBody,sectorName,securityName,status,symbol,website,fetched_at,date,source_endpoint
company.affairs@nabilbank.com,Nabil Bank Limited,131,Equity,Nepal Rastra Bank,Commercial Banks,Nabil Bank Limited,A,NABIL,www.nabilbank.com,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
info@nimb.com.np,Nepal Investment Mega Bank Limited,132,Equity,Nepal Rastra Bank,Commercial Banks,Nepal Investment Mega Bank Limited,A,NIMB,http://www.nimb.com.np,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
Legal.Nepal@sc.com,Standard Chartered Bank  Nepal Limited,133,Equity,Nepal Rastra Bank,Commercial Banks,Standard Chartered Bank Limited,A,SCB,www.sc.com/np,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
legal@himalayanbank.com,Himalayan Bank Limited,134,Equity,Nepal Rastra Bank,Commercial Banks,Himalayan Bank Limited,A,HBL,https://www.himalayanbank.com,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
cs@nsbl.com.np,Nepal SBI Bank Limited,135,Equity,Nepal Rastra Bank,Commercial Banks,Nepal SBI Bank Limited,A,SBI,https://nsbl.statebank,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
bishwapoudel@nbbl.com.np,Nepal Bangladesh Bank Limited,136,Equity,Nepal Rastra Bank,Commercial Banks,Nepal Bangladesh Bank Limited,D,NBB,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
sharedept@ebl.com.np,Everest Bank Limited,137,Equity,Nepal Rastra Bank,Commercial Banks,Everest Bank Limited,A,EBL,www.everestbankltd.com,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
deepak.gautam@bok.com.np,Bank of Kathmandu Ltd.,138,Equity,Nepal Rastra Bank,Commercial Banks,Bank of Kathmandu Ltd.,D,BOKL,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
nica.nots@nicasiabank.com,NIC Asia Bank Ltd.,139,Equity,Nepal Rastra Bank,Commercial Banks,NIC Asia Bank Ltd.,A,NICA,www.nicasiabank.com,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
machbank@mbl.com.np,Machhapuchhre Bank Limited,140,Equity,Nepal Rastra Bank,Commercial Banks,Machhapuchhre Bank Limited,A,MBL,http://www.machbank.com,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
piyush.aryal@laxmisunrise.com,Laxmi Sunrise Bank Limited,141,Equity,Nepal Rastra Bank,Commercial Banks,Laxmi Sunrise Bank Limited,A,LSL,www.laxmisunrise.com,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
info@kumaribank.com,Kumari Bank Limited,142,Equity,Nepal Rastra Bank,Commercial Banks,Kumari Bank Limited,A,KBL,http://www.kumaribank.com,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
info@lumbinibank.com.np,Lumbini Bank Limited,143,Equity,Nepal Rastra Bank,Commercial Banks,Lumbini Bank Limited,D,LUBL,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
corporate@nccbank.com.np,Nepal Credit And Commercial Bank Limited,144,Equity,Nepal Rastra Bank,Commercial Banks,Nepal Credit And Commercial Bank Limited,D,NCCB,http://www.nccbank.com.np,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
laxman.ghimire@sbl.com.np,Siddhartha Bank Limited,145,Equity,Nepal Rastra Bank,Commercial Banks,Siddhartha Bank Limited,A,SBL,www.siddharthabank.com,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
yhl@yhl.com,Yak And Yeti Hotel Limited,146,Equity,Ministry of Tourism,Hotels And Tourism,Yak And Yeti Hotel Limited,S,YHL,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
lbkhatri@soaltee.com.np,Soaltee Hotel Limited,147,Equity,Ministry of Tourism,Hotels And Tourism,Soaltee Hotel Limited,A,SHL,http://www.soalteehotel.com,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
info@taragaon.com,Taragaon Regency Hotel Limited,148,Equity,Ministry of Tourism,Hotels And Tourism,Taragaon Regency Hotel Limited,A,TRH,,2025-08-30 12:59:55.271204,2025-08-30,CompanyList
