averageTradedPrice,highPrice,indexId,lastTradedPrice,lastTradedVolume,lastUpdatedDateTime,lowPrice,openPrice,percentageChange,previousClose,securityId,securityName,symbol,totalTradeQuantity,totalTradeValue,fetched_at,date,source_endpoint
540.4,548.0,58,527.0,830,2025-08-28 14:59:59.946812,527.0,547.0,-3.58,546.57,459,Kamana Sewa Bikas Bank Limited,KSBBL,209893,113425194.9,2025-08-30 12:59:55.553058,2025-08-30,LiveMarket
497.14,513.0,58,499.0,10,2025-08-28 14:59:59.854543,490.0,513.0,-0.9,503.54,227,Best Finance Company Ltd.,BFC,19508,9698274.4,2025-08-30 12:59:55.553058,2025-08-30,LiveMarket
534.78,549.0,58,537.0,10,2025-08-28 14:59:59.839992,526.8,535.0,0.41,534.8,9183,Nepal Republic Media Limited,NRM,137302,73426119.1,2025-08-30 12:59:55.553058,2025-08-30,LiveMarket
994.13,1037.9,58,985.0,20,2025-08-28 14:59:59.678593,938.9,938.9,2.82,957.98,2761,Samata Gharelu Laghubitta Bittiya Sanstha Limited,SMATA,51740,51436263.1,2025-08-30 12:59:55.553058,2025-08-30,LiveMarket
290.32,296.0,58,287.5,170,2025-08-28 14:59:59.676779,287.0,291.0,-2.35,294.41,2742,Hydorelectricity Investment and Development Company Ltd,HIDCL,151856,44086393.3,2025-08-30 12:59:55.553058,2025-08-30,LiveMarket
199.31,202.0,58,198.3,50,2025-08-28 14:59:59.669713,198.0,201.0,-0.5,199.29,8055,Balephi Hydropower Limited,BHL,141798,28261387.4,2025-08-30 12:59:55.553058,2025-08-30,LiveMarket
201.54,205.4,58,201.0,430,2025-08-28 14:59:59.661815,200.0,204.0,-1.44,203.93,142,Kumari Bank Limited,KBL,388024,78202786.7,2025-08-30 12:59:55.553058,2025-08-30,LiveMarket
500.54,509.0,58,493.9,50,2025-08-28 14:59:59.658425,493.0,502.0,-1.45,501.18,2767,Himalayan Power Partner Ltd.,HPPL,36715,18377324.0,2025-08-30 12:59:55.553058,2025-08-30,LiveMarket
404.61,417.0,58,399.0,10,2025-08-28 14:59:59.623118,395.6,414.0,-3.24,412.34,2786,Panchakanya Mai Hydropower Ltd,PMHPL,85264,34498245.6,2025-08-30 12:59:55.553058,2025-08-30,LiveMarket
567.4,575.0,58,561.5,500,2025-08-28 14:59:59.619698,560.0,571.0,-1.69,571.15,147,Soaltee Hotel Limited,SHL,87475,49633184.1,2025-08-30 12:59:55.553058,2025-08-30,LiveMarket
400.74,410.0,58,391.2,84,2025-08-28 14:59:59.541429,391.1,405.0,-3.09,403.69,2831,Union Hydropower Limited,UNHPL,244805,98103363.7,2025-08-30 12:59:55.553058,2025-08-30,LiveMarket
773.25,787.9,58,760.1,39,2025-08-28 14:59:59.523982,760.0,778.5,-1.99,775.56,2776,Radhi Bidyut Company Ltd,RADHI,165617,128063153.5,2025-08-30 12:59:55.553058,2025-08-30,LiveMarket
272.08,275.7,58,268.5,100,2025-08-28 14:59:59.52038,268.0,274.0,-0.05,268.64,2757,Arun Kabeli Power Ltd.,AKPL,540030,146930020.3,2025-08-30 12:59:55.553058,2025-08-30,LiveMarket
788.7,797.0,58,784.5,10,2025-08-28 14:59:59.450248,777.9,777.9,-1.08,793.03,187,Nepal Life Insurance Co. Ltd.,NLIC,31371,24742285.2,2025-08-30 12:59:55.553058,2025-08-30,LiveMarket
911.39,920.5,58,914.0,10,2025-08-28 14:59:59.43959,902.1,920.0,-1.24,925.5,9146,Super Madi Hydropower Limited,SMHL,15612,14228583.8,2025-08-30 12:59:55.553058,2025-08-30,LiveMarket
526.33,535.0,58,522.0,90,2025-08-28 14:59:59.395269,515.5,528.0,-1.99,532.61,8102,Mandakini Hydropower Limited,MHL,50549,26605391.7,2025-08-30 12:59:55.553058,2025-08-30,LiveMarket
1008.14,1025.0,58,1024.0,66,2025-08-28 14:59:59.389397,992.0,1000.0,1.79,1006.03,2807,Asha Laghubitta Bittiya Sanstha Ltd,ALBSL,42597,42943764.4,2025-08-30 12:59:55.553058,2025-08-30,LiveMarket
645.84,657.0,58,650.0,70,2025-08-28 14:59:59.385117,632.1,656.9,0.52,646.66,274,Excel Development Bank Ltd.,EDBL,35089,22662006.6,2025-08-30 12:59:55.553058,2025-08-30,LiveMarket
1263.06,1280.0,58,1264.9,47,2025-08-28 14:59:59.376376,1255.6,1275.0,-0.03,1265.23,9213,Hathway Investment Nepal Limited,HATHY,55660,70301860.8,2025-08-30 12:59:55.553058,2025-08-30,LiveMarket
474.54,482.0,58,475.0,100,2025-08-28 14:59:59.368048,472.1,472.1,0.49,472.7,8104,Upper Solu Hydro Electric Company Limited,USHEC,25885,12283504.7,2025-08-30 12:59:55.553058,2025-08-30,LiveMarket
943.92,969.0,58,947.0,90,2025-08-28 14:59:59.358505,916.7,935.4,-0.78,954.41,2896,Sampada Laghubitta Bittiya Sanstha Limited,SMPDA,11148,10522875.6,2025-08-30 12:59:55.553058,2025-08-30,LiveMarket
