ltp,percentageChange,pointChange,sectorName,symbol,totalTradeQuantity,totalTrades,totalTurnover,fetched_at,date,source_endpoint
0.0,0.0,0.0,Development Banks,ACEDBL,0,0,0.0,2025-08-30 12:59:55.482957,2025-08-30,TradeTurnoverTransactionSubindices
1078.55,-1.39,-15.23,Microfinance,ACLBSL,1785,51,1922459.1,2025-08-30 12:59:55.482979,2025-08-30,TradeTurnoverTransactionSubindices
327.55,-1.13,-3.76,Commercial Banks,ADBL,66102,314,21736108.5,2025-08-30 12:59:55.482985,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Commercial Banks,ADBLB,0,0,0.0,2025-08-30 12:59:55.482988,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Commercial Banks,ADBLB86,0,0,0.0,2025-08-30 12:59:55.482992,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Commercial Banks,ADBLB87,0,0,0.0,2025-08-30 12:59:55.482995,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Commercial Banks,ADBLD83,0,0,0.0,2025-08-30 12:59:55.482999,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Microfinance,ADLB,0,0,0.0,2025-08-30 12:59:55.483003,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Finance,AEFL,0,0,0.0,2025-08-30 12:59:55.483007,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Finance,AFL,0,0,0.0,2025-08-30 12:59:55.483011,2025-08-30,TradeTurnoverTransactionSubindices
655.52,2.54,16.26,Hydro Power,AHL,9444,155,6073765.0,2025-08-30 12:59:55.483014,2025-08-30,TradeTurnoverTransactionSubindices
291.63,-2.29,-6.84,Hydro Power,AHPC,172491,563,50937768.6,2025-08-30 12:59:55.483018,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Non Life Insurance,AIL,0,0,0.0,2025-08-30 12:59:55.483021,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Microfinance,AKBSL,0,0,0.0,2025-08-30 12:59:55.483025,2025-08-30,TradeTurnoverTransactionSubindices
204.08,-1.81,-3.77,Hydro Power,AKJCL,80486,318,16495473.1,2025-08-30 12:59:55.483028,2025-08-30,TradeTurnoverTransactionSubindices
268.55,-0.03,-0.09,Hydro Power,AKPL,540030,1710,146930020.3,2025-08-30 12:59:55.483031,2025-08-30,TradeTurnoverTransactionSubindices
1019.17,1.31,13.14,Microfinance,ALBSL,42597,341,42943764.4,2025-08-30 12:59:55.483034,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Development Banks,ALDBL,0,0,0.0,2025-08-30 12:59:55.483040,2025-08-30,TradeTurnoverTransactionSubindices
490.37,-2.37,-11.91,Life Insurance,ALICL,19572,179,9664370.7,2025-08-30 12:59:55.483043,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Microfinance,AMFI,0,0,0.0,2025-08-30 12:59:55.483047,2025-08-30,TradeTurnoverTransactionSubindices
5864.55,1.51,87.04,Microfinance,ANLB,819,51,4689747.7,2025-08-30 12:59:55.483051,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Development Banks,APEX,0,0,0.0,2025-08-30 12:59:55.483054,2025-08-30,TradeTurnoverTransactionSubindices
294.75,-1.39,-4.14,Hydro Power,API,141601,455,41966757.2,2025-08-30 12:59:55.483058,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Development Banks,ARDBL,0,0,0.0,2025-08-30 12:59:55.483061,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Manufacturing And Processing,AVU,0,0,0.0,2025-08-30 12:59:55.483065,2025-08-30,TradeTurnoverTransactionSubindices
1016.09,-1.73,-17.88,Microfinance,AVYAN,5906,71,6018059.4,2025-08-30 12:59:55.483069,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Development Banks,AXIS,0,0,0.0,2025-08-30 12:59:55.483072,2025-08-30,TradeTurnoverTransactionSubindices
357.29,-1.86,-6.79,Hydro Power,BARUN,55432,246,20055505.6,2025-08-30 12:59:55.483076,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Development Banks,BBBL,0,0,0.0,2025-08-30 12:59:55.483080,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Development Banks,BBBLN,0,0,0.0,2025-08-30 12:59:55.483083,2025-08-30,TradeTurnoverTransactionSubindices
5390.7,-1.34,-73.05,Tradings,BBC,450,40,2440681.4,2025-08-30 12:59:55.483086,2025-08-30,TradeTurnoverTransactionSubindices
713.53,-2.35,-17.15,Hydro Power,BEDC,10001,100,7208059.0,2025-08-30 12:59:55.483090,2025-08-30,TradeTurnoverTransactionSubindices
492.55,-2.18,-10.99,Finance,BFC,19508,135,9698274.4,2025-08-30 12:59:55.483093,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Finance,BFCL,0,0,0.0,2025-08-30 12:59:55.483096,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Finance,BFIL,0,0,0.0,2025-08-30 12:59:55.483100,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Development Banks,BGDBL,0,0,0.0,2025-08-30 12:59:55.483103,2025-08-30,TradeTurnoverTransactionSubindices
906.6,0.17,1.55,Hydro Power,BGWT,1028,38,931692.2,2025-08-30 12:59:55.483106,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Development Banks,BHBL,0,0,0.0,2025-08-30 12:59:55.483110,2025-08-30,TradeTurnoverTransactionSubindices
568.9,10.0,51.7,Hydro Power,BHCL,34970,3497,19892587.0,2025-08-30 12:59:55.483113,2025-08-30,TradeTurnoverTransactionSubindices
566.22,-1.64,-9.42,Hydro Power,BHDC,84272,303,48133041.8,2025-08-30 12:59:55.483117,2025-08-30,TradeTurnoverTransactionSubindices
198.52,-0.39,-0.77,Hydro Power,BHL,141798,628,28261387.4,2025-08-30 12:59:55.483120,2025-08-30,TradeTurnoverTransactionSubindices
771.2,-1.63,-12.8,Hydro Power,BHPL,3418,41,2650082.9,2025-08-30 12:59:55.483124,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Finance,BJFL,0,0,0.0,2025-08-30 12:59:55.483127,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Manufacturing And Processing,BJM,0,0,0.0,2025-08-30 12:59:55.483131,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Development Banks,BLDBL,0,0,0.0,2025-08-30 12:59:55.483134,2025-08-30,TradeTurnoverTransactionSubindices
517.73,-0.86,-4.47,Hydro Power,BNHC,14074,96,7294096.4,2025-08-30 12:59:55.483137,2025-08-30,TradeTurnoverTransactionSubindices
16082.0,-2.0,-328.0,Manufacturing And Processing,BNL,32,3,514656.0,2025-08-30 12:59:55.483141,2025-08-30,TradeTurnoverTransactionSubindices
11950.0,-0.34,-40.86,Manufacturing And Processing,BNT,130,11,1552782.5,2025-08-30 12:59:55.483144,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Commercial Banks,BOAN,0,0,0.0,2025-08-30 12:59:55.483148,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Commercial Banks,BOKD2079,0,0,0.0,2025-08-30 12:59:55.483151,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Commercial Banks,BOKD86,0,0,0.0,2025-08-30 12:59:55.483154,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Commercial Banks,BOKD86KA,0,0,0.0,2025-08-30 12:59:55.483157,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Commercial Banks,BOKL,0,0,0.0,2025-08-30 12:59:55.483161,2025-08-30,TradeTurnoverTransactionSubindices
832.5,-2.3,-19.63,Hydro Power,BPCL,166350,717,140817308.0,2025-08-30 12:59:55.483164,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Microfinance,BPW,0,0,0.0,2025-08-30 12:59:55.483168,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Development Banks,BRTBL,0,0,0.0,2025-08-30 12:59:55.483171,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Manufacturing And Processing,BSL,0,0,0.0,2025-08-30 12:59:55.483174,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Manufacturing And Processing,BSM,0,0,0.0,2025-08-30 12:59:55.483178,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Development Banks,BUDBL,0,0,0.0,2025-08-30 12:59:55.483181,2025-08-30,TradeTurnoverTransactionSubindices
10.17,0.2,0.02,Commercial Banks,C30MF,677300,76,6876186.0,2025-08-30 12:59:55.483185,2025-08-30,TradeTurnoverTransactionSubindices
1069.84,-0.78,-8.37,Microfinance,CBBL,47731,362,51159356.8,2025-08-30 12:59:55.483188,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Commercial Banks,CBL,0,0,0.0,2025-08-30 12:59:55.483192,2025-08-30,TradeTurnoverTransactionSubindices
1115.2,0.02,0.2,Commercial Banks,CBLD88,50,2,55755.0,2025-08-30 12:59:55.483195,2025-08-30,TradeTurnoverTransactionSubindices
1126.0,-0.79,-9.0,Commercial Banks,CCBD88,25,1,28150.0,2025-08-30 12:59:55.483199,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Commercial Banks,CCBL,0,0,0.0,2025-08-30 12:59:55.483202,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Development Banks,CEDBL,0,0,0.0,2025-08-30 12:59:55.483206,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Finance,CEFL,0,0,0.0,2025-08-30 12:59:55.483209,2025-08-30,TradeTurnoverTransactionSubindices
506.82,-2.28,-11.83,Finance,CFCL,16623,102,8500454.5,2025-08-30 12:59:55.483213,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Finance,CFL,0,0,0.0,2025-08-30 12:59:55.483216,2025-08-30,TradeTurnoverTransactionSubindices
1056.49,-0.58,-6.17,Hotels And Tourism,CGH,178031,736,189023634.0,2025-08-30 12:59:55.483220,2025-08-30,TradeTurnoverTransactionSubindices
510.16,-1.47,-7.62,Hydro Power,CHCL,45569,320,23359321.0,2025-08-30 12:59:55.483223,2025-08-30,TradeTurnoverTransactionSubindices
2584.49,-2.12,-55.91,Investment,CHDC,27548,425,71929715.9,2025-08-30 12:59:55.483226,2025-08-30,TradeTurnoverTransactionSubindices
285.36,-2.99,-8.79,Hydro Power,CHL,41002,248,11784434.4,2025-08-30 12:59:55.483230,2025-08-30,TradeTurnoverTransactionSubindices
1925.61,-0.78,-15.2,Investment,CIT,10344,237,19955098.9,2025-08-30 12:59:55.483233,2025-08-30,TradeTurnoverTransactionSubindices
602.34,-1.25,-7.65,Hotels And Tourism,CITY,18590,135,11278906.4,2025-08-30 12:59:55.483237,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Development Banks,CIVIC,0,0,0.0,2025-08-30 12:59:55.483240,2025-08-30,TradeTurnoverTransactionSubindices
1117.0,-0.45,-5.0,Commercial Banks,CIZBD86,114,3,127345.5,2025-08-30 12:59:55.483243,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Commercial Banks,CIZBD90,0,0,0.0,2025-08-30 12:59:55.483248,2025-08-30,TradeTurnoverTransactionSubindices
674.93,-1.37,-9.38,Hydro Power,CKHL,3875,57,2630712.4,2025-08-30 12:59:55.483252,2025-08-30,TradeTurnoverTransactionSubindices
473.22,-1.62,-7.78,Life Insurance,CLI,20473,395,9817811.0,2025-08-30 12:59:55.483255,2025-08-30,TradeTurnoverTransactionSubindices
0.0,0.0,0.0,Finance,CMB,0,0,0.0,2025-08-30 12:59:55.483259,2025-08-30,TradeTurnoverTransactionSubindices
